Interval Data Export

Client: 9999 - Crying Undergraduate	Channel Set: Test Channel Set.chs
Session Date: 9/3/2010		Session Time: 3:20:57 PM
Start Time: 00:00:00.000		End Time: 00:01:20.938

Time,IBI from BVP
1.104004,514.648
1.749512,645.508
2.703613,954.102
3.693848,990.234
4.590820,896.973
5.449219,858.398
6.304688,855.469
7.253906,949.219
8.255371,1001.465
9.221680,966.309
10.090820,869.141
10.515625,424.805
13.648438,370.605
13.974121,325.684
14.594727,620.605
14.964844,370.117
15.349609,384.766
15.971680,622.070
16.344238,372.559
16.710449,366.211
17.254395,543.945
17.569336,314.941
17.888672,319.336
18.511230,622.559
19.091309,580.078
19.991211,899.902
21.370117,1378.906
21.678223,308.105
22.287109,608.887
22.609863,322.754
22.930176,320.313
23.390137,459.961
24.266602,876.465
24.686035,419.434
25.610352,924.316
26.576172,965.820
27.538574,962.402
28.453613,915.039
29.388672,935.059
30.318848,930.176
31.237305,918.457
32.174316,937.012
33.140625,966.309
34.103516,962.891
35.070801,967.285
36.016602,945.801
36.938965,922.363
37.864746,925.781
38.235352,370.605
38.866699,631.348
39.831055,964.355
40.875488,1044.434
41.837402,961.914
42.824707,987.305
43.797852,973.145
44.706055,908.203
45.603516,897.461
46.546875,943.359
47.459473,912.598
48.331543,872.070
49.227539,895.996
50.132324,904.785
51.067383,935.059
52.059082,991.699
53.042969,983.887
54.042969,1000.000
55.024902,981.934
56.023926,999.023
57.026367,1002.441
57.992676,966.309
58.987305,994.629
59.973633,986.328
60.946777,973.145
61.883789,937.012
62.819824,936.035
63.781738,961.914
64.487793,706.055
65.525879,1038.086
66.050293,524.414
66.694824,644.531
67.356934,662.109
69.253906,1896.973
70.180176,926.270
71.132324,952.148
72.050293,917.969
72.923340,873.047
73.817383,894.043
74.732422,915.039
75.701172,968.750
76.703613,1002.441
77.717773,1014.160
78.725098,1007.324
79.686035,960.938
80.627441,941.406
