RAW Data export file (tab separated)


Client:	John,Sample
Session:	Markers
Date:	22-02-2011
Time:	17:21:03
Duration:	103	Seconds.
Output rate:	32	Samples/sec.

32 SPS	
Sensor-E:SC/GSR	Events	


0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
0.000		
