Fp1 Fpz Fp2 F3 Fz F4 C3 Cz C4 P3 Pz P4 O1 Oz O2
-10,530 -15,521 -22,716 -8,856 -18,511 -17,673 -13,687 -15,826 -8,232 -13,431 -13,150 -11,003 -11,784 -9,471 -13,936
-7,643 -12,621 -14,134 -7,493 -10,113 -22,305 -10,307 -13,418 -3,601 -10,292 -7,786 -6,288 -9,011 -5,788 -8,820
-11,040 -15,691 -11,274 -12,943 -16,626 -25,737 -10,476 -13,934 -4,973 -9,245 -5,883 -4,716 -6,758 -3,332 -6,880
-7,813 -8,357 -3,534 -10,218 -13,027 -16,986 -11,321 -13,074 -6,174 -10,292 -5,537 -4,541 -6,412 -2,982 -6,880
-11,210 -11,086 -1,851 -16,008 -11,484 -16,300 -14,869 -17,891 -12,691 -14,303 -8,479 -8,383 -8,664 -4,385 -8,291
-11,889 -9,039 -9,255 -15,497 -19,197 -11,324 -16,897 -18,235 -16,292 -14,129 -11,074 -9,606 -8,145 -3,157 -7,938
-12,569 -7,334 -6,899 -11,069 -8,741 -7,035 -14,193 -17,374 -14,063 -13,257 -10,382 -9,781 -6,065 -0,351 -4,234
-17,494 -14,838 -15,144 -11,580 -16,626 -11,153 -16,052 -20,127 -15,949 -13,955 -12,804 -11,178 -4,332 1,929 -0,706
-9,681 -8,698 -13,461 -3,576 -13,198 -7,721 -14,024 -17,374 -15,263 -10,989 -12,977 -11,178 -0,693 3,859 1,940
-10,191 -12,280 -8,750 -10,729 -10,970 -12,182 -13,349 -20,127 -15,092 -12,734 -14,016 -15,370 -2,079 0,175 -0,529
-9,002 -13,815 -16,154 -16,860 -23,311 -17,501 -18,756 -23,051 -22,123 -17,443 -20,072 -21,133 -7,798 -6,139 -7,056
-6,964 -12,962 -16,154 -15,838 -15,083 -14,927 -18,080 -22,879 -23,666 -19,711 -22,148 -23,054 -12,303 -10,173 -10,232
-8,322 -16,373 -20,697 -14,305 -19,197 -12,868 -16,390 -21,159 -21,608 -17,792 -21,629 -20,609 -12,650 -10,874 -11,114
-0,170 -6,140 -12,620 -1,873 -10,113 -4,976 -9,124 -13,762 -15,778 -10,815 -15,746 -13,972 -9,358 -8,244 -8,644
-1,189 -5,628 -5,385 -1,022 -2,914 -10,123 -2,366 -9,805 -13,034 -4,884 -8,998 -9,431 -5,545 -4,736 -5,116
3,737 1,876 -4,207 2,725 -5,828 -11,496 1,690 -3,268 -10,290 0,698 -3,980 -4,017 -1,040 -0,351 -1,058
9,851 9,551 8,750 4,598 8,399 -10,638 6,590 1,548 -3,773 2,616 1,384 -0,524 0,173 1,052 2,117
5,775 4,776 5,216 -1,022 0,514 -14,927 3,379 0,172 -4,973 0,174 0,692 -0,699 -1,733 -0,526 0,882
10,021 10,233 5,721 5,790 2,914 -8,064 3,379 1,548 -5,488 -0,349 1,211 0,000 -3,119 -1,579 0,000
5,265 3,241 4,880 3,065 2,742 -13,040 0,169 -3,957 -7,374 -5,407 -1,211 -3,668 -6,932 -5,613 -2,470
4,416 0,512 -2,861 2,044 -9,941 -15,270 -8,111 -8,429 -11,490 -10,292 -6,748 -6,288 -10,744 -9,471 -5,998
7,473 3,411 2,692 3,065 -1,028 -8,407 -8,955 -8,945 -10,461 -11,861 -8,306 -7,510 -12,997 -12,278 -8,468
1,019 -1,535 -0,337 -4,768 -7,542 -3,260 -10,138 -9,461 -11,833 -12,908 -10,036 -8,558 -15,423 -14,558 -11,819
1,868 4,605 1,514 -0,851 -1,200 6,863 -5,576 -3,440 -7,203 -8,896 -7,094 -4,192 -13,690 -11,751 -10,761
-4,586 -2,047 -1,010 -1,362 4,114 5,491 -2,028 -1,720 -1,372 -6,280 -2,422 0,873 -10,571 -7,016 -5,469
-4,586 -4,605 -11,779 1,362 -3,085 8,236 -2,704 1,720 1,372 -1,744 1,730 7,859 -5,372 -1,052 0,529
-1,868 -4,264 -8,750 2,214 6,170 8,064 0,169 3,613 6,002 1,919 7,440 12,400 -0,866 3,508 5,469
-6,964 -10,574 -16,658 -0,851 -3,428 -2,231 -1,690 1,892 6,345 3,489 8,652 12,750 3,119 7,191 7,585
-1,868 -2,729 -14,303 8,515 0,514 -1,887 0,676 4,645 8,060 6,977 10,382 12,575 7,278 10,348 10,055
-2,208 -2,729 -5,553 7,323 5,142 -4,461 3,886 3,613 8,060 7,501 10,036 8,733 8,145 9,296 8,820
3,567 2,388 -1,178 7,663 -1,543 -2,402 5,576 4,645 4,116 9,419 7,440 4,890 8,838 7,717 4,057
11,380 8,357 9,928 10,729 10,798 1,373 12,166 7,913 6,345 12,385 9,171 4,192 9,184 7,717 3,705
9,002 1,535 3,029 3,917 2,400 -4,804 12,166 5,333 1,200 10,640 6,575 1,048 5,199 4,385 1,235
12,229 3,923 -1,514 8,345 5,999 -0,858 14,362 9,805 -2,572 12,908 7,094 2,620 4,332 3,508 -0,706
-1,359 -9,551 -10,433 6,471 11,655 -2,917 20,107 14,278 0,857 17,792 13,323 7,859 7,625 7,367 3,352
