## [iView]
## Converted from:	abcedf
## Date:	00.00.0000 00:00:00
## Version:	IDF Converter 0.0.00
## IDF Version:	0
## Sample Rate:	500
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4651                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	abcedf                                                                                                                                                                                                                                                          
## Description:	abc                                                                                                                                                                                                                                                             
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1920 1200
## Calibration Point 0:	Position(960;600)
## Calibration Point 1:	Position(480;120)
## Calibration Point 2:	Position(1728;300)
## Calibration Point 3:	Position(1440;1080)
## Calibration Point 4:	Position(192;900)
## [Geometry]
## Stimulus Dimension [mm]:	474 297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	abcdefaoe
## Operating System :	0.0
## iView X Version:	0.0.00
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, HEADPOSITION, HEADROTATION, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [mm]	H ROT Y [mm]	H ROT Z [mm]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
16291711355	SMP	1	0.00	0.00	657.63	457.65	0.00	0.00	0.00	12.30	12.30	3.23	440.00	464.00	445.00	463.00	650.00	456.52	656.00	456.52	0.00	0.00	0.00	0.00	0	1534	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-49.95	12.26	619.40	3.23	13.80	609.18	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291713315	SMP	1	453.38	447.18	657.71	459.30	16.16	16.16	4.23	12.60	12.60	3.25	440.00	466.00	445.00	465.00	650.00	458.51	656.00	458.52	0.00	0.00	0.00	0.00	0	1524	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-50.03	11.78	620.45	3.24	13.31	609.65	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291717342	SMP	1	452.56	445.34	657.30	457.82	16.41	16.41	4.26	12.36	12.36	3.25	440.00	464.00	445.00	463.00	650.00	456.51	656.00	456.51	0.00	0.00	0.00	0.00	0	986	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-50.11	12.30	621.49	3.24	13.82	610.12	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291719437	SMP	1	453.37	444.98	657.20	457.57	8.66	8.66	0.00	12.46	12.46	3.26	440.00	464.00	445.00	463.00	650.00	456.50	656.00	456.51	0.00	0.00	0.00	0.00	0	1215	0	0	2	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-50.20	12.32	622.51	3.24	13.83	610.58	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291721389	SMP	1	0.00	0.00	657.14	457.74	0.00	0.00	0.00	12.18	12.18	3.25	440.00	464.00	445.00	463.00	649.72	456.61	656.00	456.50	0.00	0.00	0.00	0.00	0	1004	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-50.28	12.34	623.53	3.21	13.82	610.88	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291723401	SMP	1	0.00	0.00	657.06	457.75	0.00	0.00	0.00	12.19	12.19	3.25	440.00	464.00	445.00	463.00	649.64	456.68	656.00	456.50	0.00	0.00	0.00	0.00	0	938	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-50.36	12.36	624.54	3.20	13.82	611.14	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291725385	SMP	1	0.00	0.00	656.99	457.67	0.00	0.00	0.00	12.08	12.08	3.24	439.00	464.00	444.00	463.00	649.36	456.66	655.55	456.52	0.00	0.00	0.00	0.00	0	940	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-50.70	12.38	625.54	3.11	13.83	611.49	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291727400	SMP	1	0.00	0.00	657.00	457.57	0.00	0.00	0.00	12.09	12.09	3.23	439.00	464.00	444.00	463.00	649.00	456.51	655.44	456.52	0.00	0.00	0.00	0.00	0	1050	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-50.78	12.40	626.53	3.05	13.85	611.70	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291729334	SMP	1	452.14	443.98	656.83	457.49	11.25	11.25	0.00	12.34	12.34	3.24	439.00	464.00	444.00	463.00	649.00	456.50	655.00	456.50	0.00	0.00	0.00	0.00	0	949	0	0	2	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-50.86	12.42	627.51	3.00	13.87	612.15	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291731313	SMP	1	452.84	444.02	656.85	457.49	14.61	14.61	4.22	12.62	12.62	3.26	439.00	464.00	444.00	463.00	649.00	456.50	655.00	456.50	0.00	0.00	0.00	0.00	0	982	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-50.94	12.44	628.49	3.00	13.88	612.59	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291733318	SMP	1	452.94	443.78	656.75	457.52	9.30	9.30	0.00	12.37	12.37	3.27	439.00	464.00	444.00	463.00	649.00	456.50	655.00	456.50	0.00	0.00	0.00	0.00	0	678	0	0	2	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-51.01	12.46	629.45	3.00	13.89	613.03	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291735315	SMP	1	453.05	444.33	656.28	457.82	14.24	14.24	4.16	12.30	12.30	3.27	439.00	464.00	444.00	463.00	649.00	456.50	655.00	456.50	0.00	0.00	0.00	0.00	0	649	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-51.09	12.48	630.40	3.01	13.90	613.47	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291737318	SMP	1	453.31	444.77	655.77	457.49	7.94	7.94	0.00	12.53	12.53	3.28	439.00	464.00	444.00	463.00	648.52	457.00	654.66	456.65	0.00	0.00	0.00	0.00	0	659	0	0	2	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-51.17	12.50	631.35	2.90	13.82	613.82	0.00	0.00	0.00	0.00	0.00	0.00	65535		
