scr|ecg|rate|resp
0.177703|0.780469|0.563010|0.699746
0.567590|0.269279|0.220270|0.776076
0.455119|0.217941|0.095854|0.785930
0.723488|0.319791|0.000458|0.711280
0.324987|0.985551|0.058465|0.090651
0.875920|0.176452|0.356094|0.371186
0.617938|0.418643|0.426918|0.997452
0.590886|0.942670|0.664019|0.780678
0.219614|0.281402|0.430643|0.201874
0.355798|0.480539|0.196879|0.521769
0.191483|0.133228|0.304886|0.199917
0.073268|0.587135|0.396017|0.451548
0.083999|0.820773|0.519342|0.269811
0.299873|0.442786|0.772768|0.603420
0.210717|0.307799|0.603119|0.006154
0.544620|0.829039|0.296294|0.863438
0.688124|0.534566|0.822357|0.983340
0.161312|0.085433|0.777352|0.655858
0.100267|0.881296|0.242687|0.155928
0.673818|0.259684|0.478531|0.221599
0.652686|0.582313|0.368837|0.303392
0.591946|0.228889|0.977112|0.770985
0.893815|0.565256|0.140484|0.601924
0.355020|0.023334|0.321731|0.876238
0.310609|0.870472|0.378214|0.437358
0.222024|0.876493|0.011211|0.701962
0.999775|0.246325|0.058882|0.670085
0.353100|0.507914|0.796847|0.651347
0.792665|0.074411|0.223209|0.618083
0.875111|0.850189|0.262849|0.298720
0.867467|0.672615|0.029709|0.999156
0.758091|0.623994|0.844870|0.145395
0.129100|0.863601|0.499851|0.610543
0.177994|0.180084|0.486610|0.197025
0.611338|0.140223|0.013368|0.204258
0.724653|0.421068|0.100650|0.973417
0.248291|0.637065|0.079170|0.670132
0.193063|0.650713|0.639060|0.768062
0.316125|0.089784|0.847588|0.584606
0.361965|0.204919|0.918530|0.110913
0.716023|0.419184|0.489453|0.910416
0.175907|0.438460|0.628928|0.548402
0.230507|0.083609|0.433277|0.821464
0.324902|0.711736|0.162264|0.205306
0.222361|0.786151|0.312004|0.213536
0.436284|0.870512|0.503276|0.123906
0.461854|0.391966|0.697304|0.711619
0.449113|0.717937|0.962058|0.016686
0.270375|0.807151|0.980160|0.855995
0.882951|0.374718|0.905826|0.553656
0.893672|0.395093|0.236480|0.880240
0.849728|0.979701|0.608045|0.553340
0.663463|0.583817|0.806700|0.689650
0.680015|0.541321|0.798498|0.038703
0.197568|0.817417|0.357038|0.708298
0.271388|0.825409|0.117363|0.928221
0.187061|0.292823|0.809966|0.664417
0.345877|0.288334|0.462936|0.358856
0.592084|0.761296|0.465359|0.257964
0.876868|0.847413|0.003531|0.619088
0.701769|0.275147|0.060033|0.006588
0.544660|0.486248|0.445865|0.194051
0.611341|0.438678|0.408698|0.816392
0.400114|0.787322|0.685646|0.347426
0.635862|0.233264|0.565394|0.770895
0.250998|0.076897|0.168344|0.764529
0.904964|0.378282|0.662227|0.469547
0.184305|0.744261|0.629113|0.701232
0.110465|0.471444|0.251859|0.203254
0.638581|0.355863|0.646844|0.092269
0.506670|0.253428|0.639278|0.157430
0.563460|0.881686|0.221897|0.143668
0.975482|0.105337|0.496203|0.823688
0.081331|0.866341|0.476896|0.622196
0.404088|0.857173|0.051191|0.567987
0.344177|0.098056|0.383844|0.085417
0.894268|0.767778|0.149249|0.459842
0.266188|0.589949|0.784611|0.606859
0.436561|0.396511|0.190484|0.550418
0.305064|0.330497|0.327680|0.199407
0.407682|0.819091|0.585206|0.412629
0.995421|0.055138|0.145252|0.915323
0.285418|0.252440|0.225545|0.279085
0.191103|0.275569|0.687985|0.432820
0.820820|0.394998|0.976626|0.316107
0.364796|0.889706|0.508845|0.551863
0.622532|0.456432|0.280629|0.733041
0.079165|0.961998|0.477994|0.970696
0.372355|0.589275|0.165412|0.136584
0.139143|0.299884|0.911579|0.876845
0.787883|0.204020|0.801335|0.645769
0.881390|0.621901|0.413189|0.801948
0.858506|0.900146|0.308510|0.851714
0.148572|0.542519|0.364144|0.910575
0.929279|0.009343|0.110956|0.333395
0.173847|0.021103|0.102407|0.705643
0.711722|0.204698|0.324809|0.987751
0.426727|0.699983|0.259400|0.475217
0.440206|0.283914|0.358965|0.129294
0.769782|0.947555|0.478873|0.111629
0.913490|0.918648|0.832428|0.697104
0.885962|0.959658|0.942413|0.116110
0.664776|0.275759|0.576381|0.102880
0.472216|0.068649|0.875370|0.277371
0.412886|0.017199|0.493256|0.348854
0.906305|0.443253|0.992367|0.338464
0.130945|0.606064|0.495517|0.009217
0.948380|0.221872|0.912635|0.228313
0.923858|0.275587|0.326770|0.189007
0.140239|0.169123|0.727852|0.895879
0.917611|0.980080|0.946618|0.738976
0.748313|0.398138|0.084592|0.965601
0.985346|0.063318|0.064321|0.912615
0.585272|0.156929|0.798690|0.240521
0.910214|0.935820|0.290481|0.895667
0.939164|0.720801|0.414490|0.113233
0.793070|0.601009|0.219189|0.439089
0.188100|0.355193|0.224020|0.401200
0.064669|0.533854|0.819561|0.659855
0.080515|0.939136|0.084014|0.120529
0.994180|0.470491|0.029521|0.074847
0.608043|0.516244|0.797828|0.885632
0.903779|0.352829|0.406665|0.992076
0.464754|0.317450|0.118108|0.699490
0.241494|0.533349|0.620879|0.007419
0.365192|0.793702|0.901087|0.583453
0.870456|0.830038|0.258793|0.955905
0.846799|0.839622|0.662460|0.058174
0.047098|0.988938|0.956153|0.247016
0.629175|0.374436|0.872389|0.857405
0.419458|0.285654|0.087526|0.231030
0.447030|0.932642|0.862192|0.493182
0.067710|0.256435|0.684348|0.514655
0.942617|0.976937|0.487225|0.890114
0.525001|0.595821|0.097771|0.627944
0.620321|0.526252|0.017935|0.294417
0.153532|0.079811|0.307942|0.937156
0.973622|0.481897|0.086773|0.351778
0.970086|0.878416|0.452876|0.519812
0.745894|0.544326|0.451752|0.389405
0.693456|0.345976|0.749462|0.307902
0.889786|0.676102|0.768696|0.058827
0.563804|0.689678|0.376572|0.013433
0.770709|0.937240|0.470117|0.244043
0.280714|0.868957|0.304726|0.229770
0.920871|0.360749|0.735741|0.037141
0.084682|0.284596|0.715637|0.166579
0.998081|0.232600|0.571175|0.991742
0.434899|0.307322|0.877315|0.203465
0.564231|0.817505|0.874783|0.504653
0.245668|0.597795|0.345468|0.403160
0.501961|0.701033|0.913305|0.076675
0.143157|0.945800|0.978544|0.795102
0.192414|0.557799|0.143416|0.627535
0.806213|0.422719|0.891380|0.610781
0.096755|0.878313|0.425237|0.332952
0.962774|0.941263|0.301404|0.688470
0.755146|0.637937|0.770505|0.677315
0.879384|0.518143|0.000635|0.932086
0.074054|0.761083|0.018500|0.529313
0.166733|0.073536|0.140298|0.519276
0.012055|0.112057|0.897718|0.455143
0.586052|0.433444|0.977079|0.469288
0.229502|0.015713|0.176338|0.015471
0.223996|0.391342|0.243548|0.357331
0.867788|0.204676|0.535141|0.694438
0.661058|0.502977|0.619910|0.333629
0.791267|0.242530|0.976388|0.293197
0.772468|0.674517|0.008502|0.943649
0.433807|0.959887|0.115607|0.603198
0.004242|0.147811|0.463199|0.155184
0.843222|0.246476|0.570139|0.786383
0.643023|0.613209|0.050022|0.118087
0.534846|0.930716|0.510125|0.056664
0.803004|0.324876|0.100736|0.468398
0.634076|0.693360|0.423078|0.513656
0.590702|0.895646|0.243475|0.092987
0.410815|0.504888|0.137776|0.057727
0.529234|0.681459|0.457589|0.930501
0.033269|0.727433|0.114943|0.641422
0.228197|0.099001|0.800664|0.132374
0.591482|0.602605|0.527600|0.300023
0.396787|0.018079|0.220148|0.977796
0.566185|0.814834|0.072056|0.677385
0.212219|0.809992|0.423873|0.156077
0.247781|0.912948|0.037281|0.088754
0.359834|0.413106|0.711578|0.915291
0.614730|0.489408|0.504174|0.143293
0.543393|0.110765|0.462233|0.954245
0.070426|0.540304|0.750705|0.860324
0.123117|0.231538|0.718568|0.835485
0.423739|0.059588|0.738754|0.107735
0.625233|0.795931|0.426110|0.327206
0.300195|0.202117|0.448642|0.631443
0.040540|0.362681|0.074256|0.032937
0.345485|0.509898|0.382136|0.611545
0.870976|0.122741|0.851038|0.067360
0.026718|0.566814|0.871368|0.682644
0.795183|0.755306|0.034155|0.278830
0.041383|0.154120|0.240872|0.759630
0.875792|0.718856|0.581176|0.201912
0.594270|0.026190|0.129013|0.977483
0.418175|0.842737|0.296199|0.072679
0.438388|0.954133|0.619288|0.534286
0.038629|0.299318|0.456224|0.471940
0.019379|0.005011|0.615207|0.449299
0.842468|0.933721|0.699768|0.158243
